,time,latitude,longitude,elevation
324,2020-10-09 12:41:29,52.379230578,9.729541959,65.99
325,2020-10-09 12:41:30,52.379229236,9.729534332,65.99
326,2020-10-09 12:41:31,52.379223788,9.729514467,65.99
327,2020-10-09 12:41:32,52.379220854,9.729509521,65.99
328,2020-10-09 12:41:33,52.379220016,9.729486555,65.99
329,2020-10-09 12:41:36,52.379248766,9.729460906,66.47
330,2020-10-09 12:41:37,52.37925455,9.729451267,65.99
331,2020-10-09 12:41:38,52.379269805,9.729434838,65.99
332,2020-10-09 12:41:41,52.379292687,9.729399215,65.99
333,2020-10-09 12:41:42,52.379281204,9.729367029,65.99
334,2020-10-09 12:41:43,52.379271397,9.729348924,65.99
335,2020-10-09 12:41:47,52.37921943,9.729292765,65.99
336,2020-10-09 12:41:50,52.37919311,9.729252448,65.99
337,2020-10-09 12:41:53,52.379177604,9.729216574,65.99
338,2020-10-09 12:41:58,52.379163522,9.729148429,65.99
339,2020-10-09 12:41:59,52.379156733,9.729133844,65.99
340,2020-10-09 12:42:01,52.379139466,9.729108447,66.47
341,2020-10-09 12:42:03,52.379125888,9.729079194,65.99
342,2020-10-09 12:42:04,52.379117841,9.729069639,65.99
343,2020-10-09 12:42:06,52.379103256,9.729043739,65.99
344,2020-10-09 12:42:07,52.379093114,9.729031585,65.51
345,2020-10-09 12:42:08,52.379082218,9.729023538,65.51
346,2020-10-09 12:42:10,52.379066879,9.729016498,65.51
347,2020-10-09 12:42:11,52.379060006,9.729010128,65.51
348,2020-10-09 12:42:14,52.379044164,9.728984311,65.51
349,2020-10-09 12:42:15,52.379038045,9.728973834,65.51
350,2020-10-09 12:42:19,52.379016755,9.728920357,65.51
351,2020-10-09 12:42:20,52.379008373,9.728903258,65.99
352,2020-10-09 12:42:23,52.37899295,9.728879286,65.51
353,2020-10-09 12:42:24,52.378988257,9.72886269,65.51
354,2020-10-09 12:42:29,52.378949029,9.728796808,65.99
355,2020-10-09 12:42:30,52.378942072,9.728782559,65.51
356,2020-10-09 12:42:32,52.378934026,9.728758251,65.51
357,2020-10-09 12:42:33,52.3789238,9.728739392,65.51
358,2020-10-09 12:42:36,52.378904605,9.728694716,65.51
359,2020-10-09 12:42:37,52.37889681,9.728683988,65.51
360,2020-10-09 12:42:42,52.378856326,9.728614418,65.99
361,2020-10-09 12:42:43,52.378851883,9.728605282,65.51
362,2020-10-09 12:42:44,52.378848111,9.728591535,65.51
363,2020-10-09 12:42:46,52.378831934,9.728579465,65.51
364,2020-10-09 12:42:47,52.378826151,9.728566138,65.51
365,2020-10-09 12:42:48,52.378821457,9.728548285,65.99
366,2020-10-09 12:42:49,52.378818523,9.728524229,65.51
367,2020-10-09 12:42:50,52.378814164,9.72850428,65.51
368,2020-10-09 12:42:52,52.378803687,9.728479637,65.51
369,2020-10-09 12:42:54,52.378794132,9.728446528,65.51
370,2020-10-09 12:42:55,52.378787175,9.728434375,65.51
371,2020-10-09 12:42:56,52.378784744,9.728417527,65.51
372,2020-10-09 12:42:58,52.378771501,9.7283783,65.51
373,2020-10-09 12:43:01,52.378742835,9.728337731,65.51
374,2020-10-09 12:43:03,52.378728753,9.728313088,65.51
375,2020-10-09 12:43:07,52.378707798,9.72826045,65.51
376,2020-10-09 12:43:09,52.378694471,9.728233125,65.51
377,2020-10-09 12:43:10,52.378688688,9.728217451,65.51
378,2020-10-09 12:43:14,52.378665553,9.728173949,65.51
379,2020-10-09 12:43:17,52.378654238,9.728138158,65.51
380,2020-10-09 12:43:18,52.378649628,9.728127932,65.51
381,2020-10-09 12:43:22,52.378621716,9.728085771,65.51
382,2020-10-09 12:43:24,52.378609562,9.728061715,65.51
383,2020-10-09 12:43:26,52.378596067,9.728040425,65.51
384,2020-10-09 12:43:27,52.378592379,9.728029529,65.51
385,2020-10-09 12:43:30,52.378588943,9.727999521,65.51
386,2020-10-09 12:43:32,52.378581232,9.727976555,65.51
387,2020-10-09 12:43:34,52.378573352,9.727956355,65.03
388,2020-10-09 12:43:35,52.378566731,9.727951828,65.51
389,2020-10-09 12:43:36,52.378561702,9.727945374,65.51
390,2020-10-09 12:43:39,52.378548374,9.727906315,65.51
391,2020-10-09 12:43:47,52.378501687,9.727827525,65.03
392,2020-10-09 12:43:48,52.378496658,9.727811599,65.51
393,2020-10-09 12:43:50,52.378491377,9.727776982,65.03
394,2020-10-09 12:43:51,52.378487103,9.727761727,65.51
395,2020-10-09 12:43:54,52.378472518,9.727724008,65.03
396,2020-10-09 12:43:55,52.378469165,9.727710094,65.03
397,2020-10-09 12:43:57,52.378459191,9.727687715,65.03
398,2020-10-09 12:43:59,52.378445864,9.727668269,65.03
399,2020-10-09 12:44:00,52.378441337,9.727642368,65.03
400,2020-10-09 12:44:01,52.378436727,9.727627616,64.55
401,2020-10-09 12:44:04,52.378429351,9.727585204,65.03
402,2020-10-09 12:44:06,52.378419964,9.727553436,65.03
403,2020-10-09 12:44:13,52.378387023,9.72746836,65.03
404,2020-10-09 12:44:17,52.378373612,9.727416979,65.03
405,2020-10-09 12:44:19,52.378370175,9.72738035,65.03
406,2020-10-09 12:44:21,52.378362296,9.727347158,65.03
407,2020-10-09 12:44:23,52.378357686,9.727312876,65.03
408,2020-10-09 12:44:27,52.378342263,9.727256549,65.03
409,2020-10-09 12:44:29,52.378330613,9.727238612,65.03
410,2020-10-09 12:44:30,52.378322063,9.727230063,65.03
411,2020-10-09 12:44:34,52.37830597,9.727191087,64.55
412,2020-10-09 12:44:35,52.378302198,9.727172982,64.55
413,2020-10-09 12:44:36,52.378296247,9.727157392,64.55
414,2020-10-09 12:44:37,52.378292307,9.727137359,64.55
415,2020-10-09 12:44:41,52.378274454,9.727079691,64.55
416,2020-10-09 12:44:43,52.378266323,9.727045661,64.55
417,2020-10-09 12:44:44,52.378261378,9.727032501,64.55
418,2020-10-09 12:44:45,52.378253834,9.72702303,64.55
419,2020-10-09 12:44:47,52.378233718,9.727009535,64.55
420,2020-10-09 12:44:48,52.378226258,9.726994615,64.55
421,2020-10-09 12:44:49,52.378220893,9.726978103,64.55
422,2020-10-09 12:44:53,52.378217038,9.726932589,64.55
423,2020-10-09 12:44:55,52.378221564,9.726909371,64.55
424,2020-10-09 12:44:56,52.378221396,9.726900151,64.55
425,2020-10-09 12:44:57,52.37821578,9.726888249,64.07
426,2020-10-09 12:44:59,52.378209494,9.726860756,64.55
427,2020-10-09 12:45:01,52.37820589,9.726831252,64.55
428,2020-10-09 12:45:02,52.378202034,9.726816583,64.07
429,2020-10-09 12:45:05,52.378188958,9.726784397,64.07
