_ - uri,_ - rank,_ - name,_ - country,_ - profits,_ - position,_ - imageUri,_ - headquarters,_ - revenue,_ - marketValue,_ - assets,_ - ceo,_ - industry,_ - state,_ - thumbnail,_ - squareImage
https://www.forbes.com/companies/bluescope-steel,1538,Bluescope Steel,Australia,611.7,1538,bluescope-steel,Australia,8389,7031,7500,Mark Vassella,Iron & Steel,,,
https://www.forbes.com/companies/boeing,52,Boeing,United States,9216,52,boeing,Illinois,95798,199511,113549,Leanne Caret,Aerospace & Defense,Illinois,http://specials-images.forbesimg.com/imageserve/580f8ff731358e238316154a/280x425.jpg?fit=scale&background=000000,http://specials-images.forbesimg.com/imageserve/57ff947431358e6da6d7e06b/416x416.jpg?background=000000&cropX1=914&cropX2=2868&cropY1=714&cropY2=2667
https://www.forbes.com/companies/bohai-financial-investment-holding,1456,Bohai Financial Investment Holding,China,418.3,1456,no-pic,China,5100,5702,46373,Yi Zhuo,Rental & Leasing,,,
https://www.forbes.com/companies/boliden,1346,Boliden,Sweden,862.6,1346,boliden,Sweden,6012,10262,7174,John Kaleb,Diversified Metals & Mining,,,
https://www.forbes.com/companies/bombardier,1135,Bombardier,Canada,-461.2,1135,bombardier,Canada,16672,7820,26726,Alain Bellemare,Aerospace & Defense,,,
https://www.forbes.com/companies/booking,398,Booking Holdings,United States,2492.4,398,booking,Connecticut,13190,99874,25019,Glenn Fogel,Business & Personal Services,Connecticut,http://specials-images.forbesimg.com/imageserve/5a9830664bbe6f0fa82707bf/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5a9830664bbe6f0fa82707bf/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
https://www.forbes.com/companies/borgwarner,1330,BorgWarner,United States,475.8,1330,borgwarner,Michigan,10174,10633,10035,James Verrier,Auto & Truck Parts,Michigan,,
https://www.forbes.com/companies/boston-properties,1159,Boston Properties,United States,541.2,1159,boston-properties,Massachusetts,2631,19200,19584,Owen Thomas,Real Estate,Massachusetts,,
https://www.forbes.com/companies/boston-scientific,965,Boston Scientific,United States,112,965,boston-scientific,Massachusetts,9266,41353,19202,Michael Mahoney,Medical Equipment & Supplies,Massachusetts,,
https://www.forbes.com/companies/bouygues,423,Bouygues,France,1223.8,423,bouygues,France,37114,18768,42962,Martin Bouygues,Construction Services,,,
https://www.forbes.com/companies/brambles,1644,Brambles,Australia,469.1,1645,brambles,Australia,5100,11831,8258,Graham Chipchase,Business & Personal Services,,,
https://www.forbes.com/companies/braskem,834,Braskem,Brazil,1278.8,834,braskem,Brazil,15430,10066,16081,Fernando Musa,Specialized Chemicals,,,
https://www.forbes.com/companies/brenntag,1403,Brenntag,Germany,407,1404,brenntag,Germany,13246,9238,8857,Steven Holland,Specialized Chemicals,,,
https://www.forbes.com/companies/bridgestone,313,Bridgestone,Japan,2638.6,313,bridgestone,Japan,32945,30715,35312,Masaaki Tsuya,Auto & Truck Parts,,,
https://www.forbes.com/companies/brighthouse-financial,1135,Brighthouse Financial,United States,-96,1136,brighthouse-financial,North Carolina,8440,5762,218997,Eric Steigerwalt,Life & Health Insurance,North Carolina,,
https://www.forbes.com/companies/brilliance-china-automotive-holdings,1762,Brilliance China Automotive Holdings,Hong Kong,647,1763,brilliance-china-automotive-holdings,Hong Kong,784,9397,5813,Yu Qi,Auto & Truck Parts,,,
https://www.forbes.com/companies/bristol-myers-squibb,410,Bristol-Myers Squibb,United States,919,410,bristol-myers-squibb,New York,21040,84767,33083,Giovanni Caforio,Pharmaceuticals,New York,,
https://www.forbes.com/companies/british-american-tobacco,88,British American Tobacco,United Kingdom,48335.8,89,british-american-tobacco,United Kingdom,26132,119987,190789,Nicandro Durante,Tobacco,,,
https://www.forbes.com/companies/british-land,1368,British Land,United Kingdom,794.2,1368,british-land,United Kingdom,790,9244,17527,Chris Grigg,Real Estate,,,
https://www.forbes.com/companies/british-sky-broadcasting,518,British Sky Broadcasting,United Kingdom,1059.9,518,british-sky-broadcasting,United Kingdom,17055,31637,25361,David Darroch,Broadcasting & Cable,,,
https://www.forbes.com/companies/broadcom,200,Broadcom,United States,7787,200,broadcom,California,18824,99969,54544,Hock Tan,Semiconductors,California,,
https://www.forbes.com/companies/broadridge-financial,1815,Broadridge Financial,United States,408.2,1815,no-pic,New York,4400,13858,3485,Rich Daly,Business & Personal Services,New York,,
https://www.forbes.com/companies/brookfield-asset-management,165,Brookfield Asset Management,Canada,2339,165,brookfield-asset-management,Canada,47594,38914,195936,Bruce Flatt,Real Estate,,,
https://www.forbes.com/companies/brown-forman,1219,Brown-Forman,United States,751,1219,brown-forman,Kentucky,3215,27343,5042,Paul Varga,Beverages,Kentucky,,
https://www.forbes.com/companies/bunge,967,Bunge,United States,92,967,bunge,New York,45314,10028,23084,Soren Schroder,Food Processing,New York,,
https://www.forbes.com/companies/bunzl,1413,Bunzl,United Kingdom,399.9,1413,bunzl,United Kingdom,11051,10176,7089,Frank van Zanten,Business & Personal Services,,,
https://www.forbes.com/companies/bureau-veritas-registre-international-de-classific,1966,Bureau Veritas Registre International de Classific,France,348.2,1966,bureau-veritas-registre-international-de-classific,France,5289,11332,6448,Didier Michaud-Daniel,Business & Personal Services,,,
https://www.forbes.com/companies/burlington-stores,1895,"Burlington Stores,",United States,384.9,1895,no-pic,New Jersey,6110,9381,2813,Frank S Greenberg,Apparel/Footwear Retail,New Jersey,,
https://www.forbes.com/companies/baloise-group,914,Bâloise Group,Switzerland,556.8,914,baloise-group,Switzerland,9642,7397,86255,Gert Winter,Diversified Insurance,,,
https://www.forbes.com/companies/ch-robinson,1085,C.H. Robinson,United States,525.1,1085,ch-robinson,Minnesota,15380,12036,4308,John Wiehoff,Other Transportation,Minnesota,http://specials-images.forbesimg.com/imageserve/591366134bbe6f6c4b152195/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/591366134bbe6f6c4b152195/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
https://www.forbes.com/companies/ca,1514,CA,United States,471,1514,ca,New York,4235,14715,13060,Michael Gregoire,Software & Programming,New York,,
https://www.forbes.com/companies/cboe-holdings,1731,CBOE Holdings,United States,498.9,1731,no-pic,Illinois,2651,12016,5328,Edward Tilly,,Illinois,,
https://www.forbes.com/companies/cbre-group,892,CBRE Group,United States,712.2,892,cbre-group,California,15902,15981,11907,Robert Sulentic,Real Estate,California,,
https://www.forbes.com/companies/cbs,626,CBS,United States,1214,626,cbs,New York,14110,19905,20591,Leslie Moonves,Broadcasting & Cable,New York,,
https://www.forbes.com/companies/cdw,1047,CDW,United States,592.4,1047,cdw,Illinois,15473,11934,7028,Thomas Richards,Software & Programming,Illinois,,
https://www.forbes.com/companies/cez-group,795,CEZ Group,Czech Republic,803.3,795,cez-group,Czech Republic,8498,14133,30253,Daniel Beneš,Electric Utilities,,,
https://www.forbes.com/companies/cf-industries-holdings,1885,CF Industries Holdings,United States,444,1885,cf-industries-holdings,Illinois,4050,9218,13522,Tony Will,Specialized Chemicals,Illinois,,
https://www.forbes.com/companies/cgi-group,1011,CGI Group,Canada,814,1011,cgi-group,Canada,8736,17226,9590,George Schindler,Computer Services,,http://specials-images.forbesimg.com/imageserve/5a1456a831358e2864704af0/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5a1456a831358e2864704af0/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
https://www.forbes.com/companies/cgn-power,707,CGN Power,China,1398.4,707,cgn-power,China,6870,12506,55210,Sui Chen,Electric Utilities,,,
