Start,End,Average daily use
5/4/17 0:00,6/4/17 0:00,4.3
4/4/17 0:00,5/4/17 0:00,4.3
3/4/17 0:00,4/4/17 0:00,4.4
2/4/17 0:00,3/4/17 0:00,3.2
1/4/17 0:00,2/4/17 0:00,19.8
31/3/17 0:00,1/4/17 0:00,4.1
30/3/17 0:00,31/3/17 0:00,15
29/3/17 0:00,30/3/17 0:00,4.8
28/3/17 0:00,29/3/17 0:00,3.3
27/3/17 0:00,28/3/17 0:00,5.1
26/3/17 0:00,27/3/17 0:00,9.4
25/3/17 0:00,26/3/17 0:00,12
24/3/17 0:00,25/3/17 0:00,4.6
23/3/17 0:00,24/3/17 0:00,4.7
22/3/17 0:00,23/3/17 0:00,5.1
21/3/17 0:00,22/3/17 0:00,17.1
20/3/17 0:00,21/3/17 0:00,12.9
19/3/17 0:00,20/3/17 0:00,13.6
18/3/17 0:00,19/3/17 0:00,3
17/3/17 0:00,18/3/17 0:00,5.6
16/3/17 0:00,17/3/17 0:00,7
15/3/17 0:00,16/3/17 0:00,7.1
14/3/17 0:00,15/3/17 0:00,5.2
13/3/17 0:00,14/3/17 0:00,13.6
12/3/17 0:00,13/3/17 0:00,3.1
11/3/17 0:00,12/3/17 0:00,3.1
10/3/17 0:00,11/3/17 0:00,6.7
9/3/17 0:00,10/3/17 0:00,3.5
8/3/17 0:00,9/3/17 0:00,11.1
7/3/17 0:00,8/3/17 0:00,11.2
6/3/17 0:00,7/3/17 0:00,5
5/3/17 0:00,6/3/17 0:00,21.3
4/3/17 0:00,5/3/17 0:00,5.6
3/3/17 0:00,4/3/17 0:00,4.7
2/3/17 0:00,3/3/17 0:00,3.3
1/3/17 0:00,2/3/17 0:00,3.9
28/2/17 0:00,1/3/17 0:00,3.9
27/2/17 0:00,28/2/17 0:00,8
26/2/17 0:00,27/2/17 0:00,8.4
25/2/17 0:00,26/2/17 0:00,9.8
24/2/17 0:00,25/2/17 0:00,15.5
23/2/17 0:00,24/2/17 0:00,3.8
22/2/17 0:00,23/2/17 0:00,4.7
21/2/17 0:00,22/2/17 0:00,4.5
20/2/17 0:00,21/2/17 0:00,9.7
19/2/17 0:00,20/2/17 0:00,15
18/2/17 0:00,19/2/17 0:00,15.3
17/2/17 0:00,18/2/17 0:00,18.2
16/2/17 0:00,17/2/17 0:00,4.9
15/2/17 0:00,16/2/17 0:00,5.4
14/2/17 0:00,15/2/17 0:00,7
13/2/17 0:00,14/2/17 0:00,6.4
12/2/17 0:00,13/2/17 0:00,5.7
11/2/17 0:00,12/2/17 0:00,4.7
10/2/17 0:00,11/2/17 0:00,5.4
9/2/17 0:00,10/2/17 0:00,5.3
8/2/17 0:00,9/2/17 0:00,8.5
7/2/17 0:00,8/2/17 0:00,3.9
6/2/17 0:00,7/2/17 0:00,4.8
5/2/17 0:00,6/2/17 0:00,7.4
4/2/17 0:00,5/2/17 0:00,4.4
3/2/17 0:00,4/2/17 0:00,4.9
2/2/17 0:00,3/2/17 0:00,4.8
1/2/17 0:00,2/2/17 0:00,4.5
31/1/17 0:00,1/2/17 0:00,4.8
30/1/17 0:00,31/1/17 0:00,3.5
29/1/17 0:00,30/1/17 0:00,2.7
28/1/17 0:00,29/1/17 0:00,2.6
27/1/17 0:00,28/1/17 0:00,2.6
26/1/17 0:00,27/1/17 0:00,2.3
25/1/17 0:00,26/1/17 0:00,4.9
24/1/17 0:00,25/1/17 0:00,5.1
23/1/17 0:00,24/1/17 0:00,6.5
22/1/17 0:00,23/1/17 0:00,4.6
21/1/17 0:00,22/1/17 0:00,4.8
20/1/17 0:00,21/1/17 0:00,4.3
19/1/17 0:00,20/1/17 0:00,3.4
18/1/17 0:00,19/1/17 0:00,3.4
17/1/17 0:00,18/1/17 0:00,3.8
16/1/17 0:00,17/1/17 0:00,3.6
15/1/17 0:00,16/1/17 0:00,7.1
14/1/17 0:00,15/1/17 0:00,5.2
13/1/17 0:00,14/1/17 0:00,4.3
12/1/17 0:00,13/1/17 0:00,5.5
11/1/17 0:00,12/1/17 0:00,4.4
10/1/17 0:00,11/1/17 0:00,3.8
9/1/17 0:00,10/1/17 0:00,6.2
8/1/17 0:00,9/1/17 0:00,7.3
7/1/17 0:00,8/1/17 0:00,5.6
6/1/17 0:00,7/1/17 0:00,10.5
5/1/17 0:00,6/1/17 0:00,6.5
4/1/17 0:00,5/1/17 0:00,11.2
3/1/17 0:00,4/1/17 0:00,10.9
2/1/17 0:00,3/1/17 0:00,12.1
1/1/17 0:00,2/1/17 0:00,7.2
31/12/16 0:00,1/1/17 0:00,9.2
30/12/16 0:00,31/12/16 0:00,7.6
29/12/16 0:00,30/12/16 0:00,11.3
