ObsLatentHeat(mm.day),ObsSensibleHeat(mm.day),ModNetRadiation(mm.day),ModTsLessTa(K)
1.73498,-0.511967,1.13081,-0.877056
0.817952,0.966751,2.44226,1.83905
0.124625,2.56371,3.32874,4.69046
0.719823,0.572060,1.60950,0.218826
2.22239,-0.132333,3.33005,-1.07893
0.551838,2.99434,4.43908,6.86642
1.76265,2.42402,4.80822,3.73585
2.69965,2.10878,5.45240,1.90460
0.908574,2.52553,4.21318,5.66349
1.64266,0.870855,2.19487,0.257761
1.96388,-0.162666,1.92317,-0.393410
1.22799,1.25408,3.31165,1.11680
0.0161059,3.01134,4.11015,5.65427
0.963838,0.933237,2.34039,1.67679
1.16321,2.03177,3.80048,4.14764
2.94753,0.244013,4.37882,-0.307988
0.549476,3.09892,5.50770,6.28412
1.82077,2.90404,5.72133,3.87107
1.66146,2.25426,5.28517,4.72005
3.10602,2.14870,6.01058,0.264988
2.37098,0.429327,2.94587,2.07926
0.755481,2.77911,5.19101,4.90313
2.33984,0.623494,3.24593,-0.973124
1.94802,1.41760,4.44175,0.975103
0.0464704,3.42836,5.05215,6.55261
0.687651,2.13873,3.56531,3.67421
0.909526,2.85546,4.77669,5.27833
2.85956,0.850165,4.54180,-2.84532
3.40928,3.16372,6.58935,1.38782
1.29809,2.99076,5.95917,4.30117
3.60184,2.02766,6.58552,-1.85343
3.20497,1.39455,4.18729,3.18319
0.988847,3.14279,6.00413,3.47567
2.75552,2.10876,4.80645,0.699704
2.86949,1.40045,4.27273,-0.825690
2.32229,1.32822,5.20034,1.97248
0.508611,3.01126,5.85528,5.19616
1.22997,2.87992,4.65065,6.74750
1.25392,2.88157,5.57940,3.72867
4.15287,1.25637,5.63452,-0.750403
2.01883,1.84458,4.12927,2.57746
4.14316,2.03114,6.51643,-3.16787
2.90375,2.42138,6.30648,2.99358
2.53819,3.65854,5.75172,6.13168
5.30687,1.33953,6.69386,-4.26532
3.19688,2.55370,6.48598,-0.240738
4.01643,2.44648,5.74641,-1.18731
4.91187,1.58304,5.53169,-0.315996
2.99574,2.36206,5.90900,2.39128
0.614325,3.75381,6.28528,6.03821
1.62939,3.40646,5.76022,6.27764
4.74950,0.572863,5.35985,-3.86653
3.11462,2.00779,4.99105,1.25837
5.14679,1.90438,6.69018,-5.30989
2.77205,3.33832,6.17974,5.71653
4.87687,1.17468,7.11490,-6.53668
3.82488,2.43280,6.57192,1.72647
3.75847,2.65495,6.44441,-0.156175
2.18319,4.25121,5.99055,8.38147
3.78221,2.41392,6.11581,-0.339866
2.76895,1.31146,6.26362,-0.805514
0.259269,4.15424,6.61360,6.29047
1.55626,3.99300,6.03787,7.63855
5.33735,-0.0790510,5.52662,-6.51320
3.18345,2.43367,5.52908,1.87059
4.70665,2.03871,6.94029,-4.95439
1.90533,4.01744,6.22031,5.11113
5.45112,0.560165,6.38572,-5.88285
1.34676,3.86955,5.50582,10.5879
1.42709,3.78060,6.71528,4.69809
4.23888,2.22007,6.30700,-1.09250
1.92193,4.41215,5.77964,9.55380
4.04343,2.02609,6.07551,-0.690575
1.35884,3.44653,6.64996,7.63253
