year,temp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1896,mnth_lowest,7.4,9.5,3.7,4.5,3.6,0.7,0.5,2.1,2.7,2.7,2.5,8.3
1896,mnth_mean_max,26.7,23.9,22.0,19.8,15.5,13.4,12.2,13.6,16.3,20.2,23.6,25.7
1896,mnth_mean_min,14.0,14.7,12.3,10.0,8.3,5.9,5.8,5.7,6.7,8.6,10.7,13.5
1897,mnth_highest,39.0,35.3,32.0,29.1,21.6,19.8,18.9,20.9,27.1,26.7,37.2,41.8
1897,mnth_lowest,8.1,9.3,3.8,3.1,0.8,-0.3,1.4,1.1,2.5,3.5,6.2,9.0
1897,mnth_mean_max,23.3,23.5,21.0,20.2,15.8,15.1,13.9,13.5,17.9,18.5,23.8,26.8
1897,mnth_mean_min,13.4,14.0,10.7,9.2,6.4,6.3,6.9,5.4,7.6,8.3,11.2,14.2
1898,mnth_highest,42.9,41.9,35.5,29.9,20.7,19.6,17.7,20.6,22.7,31.7,33.1,43.0
1898,mnth_lowest,8.9,8.3,5.1,5.1,1.7,0.1,1.7,0.4,4.4,3.4,6.8,6.7
1898,mnth_mean_max,27.9,30.2,24.1,19.6,15.5,13.8,13.1,15.6,16.9,21.4,22.5,26.0
1898,mnth_mean_min,14.6,16.6,12.7,10.2,6.5,6.6,6.3,6.9,8.6,9.9,11.1,12.5
1899,mnth_highest,39.1,38.7,36.7,28.9,21.1,17.7,16.1,22.1,25.3,27.2,31.4,40.1
1899,mnth_lowest,7.7,9.0,8.9,4.4,2.1,1.4,-0.7,-0.2,1.7,2.3,6.0,7.5
1899,mnth_mean_max,22.7,28.0,25.7,20.5,15.4,13.3,13.0,14.7,17.8,18.0,21.5,26.4
1899,mnth_mean_min,12.5,14.6,13.8,10.7,7.7,6.2,3.8,6.0,8.5,8.1,10.7,12.8
1900,mnth_highest,41.6,40.0,32.1,23.3,23.1,19.7,18.2,16.6,23.9,30.1,36.3,40.4
