Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,014015,1969,01,32.4,Y
IDCJAC0002,014015,1969,02,30.6,Y
IDCJAC0002,014015,1969,03,32.2,Y
IDCJAC0002,014015,1969,04,33.9,Y
IDCJAC0002,014015,1969,05,33.3,Y
IDCJAC0002,014015,1969,06,31.2,Y
IDCJAC0002,014015,1969,07,31.7,Y
IDCJAC0002,014015,1969,08,32.1,Y
IDCJAC0002,014015,1969,09,32.5,Y
IDCJAC0002,014015,1969,10,31.9,Y
IDCJAC0002,014015,1969,11,34.3,Y
IDCJAC0002,014015,1969,12,33.2,Y
IDCJAC0002,014015,1970,01,33.4,Y
IDCJAC0002,014015,1970,02,32.4,Y
IDCJAC0002,014015,1970,03,33.2,Y
IDCJAC0002,014015,1970,04,33.2,Y
IDCJAC0002,014015,1970,05,32.7,Y
IDCJAC0002,014015,1970,06,32.1,Y
IDCJAC0002,014015,1970,07,30.7,Y
IDCJAC0002,014015,1970,08,31.3,Y
IDCJAC0002,014015,1970,09,32.9,Y
IDCJAC0002,014015,1970,10,33.4,Y
IDCJAC0002,014015,1970,11,33.8,Y
IDCJAC0002,014015,1970,12,32.5,Y
IDCJAC0002,014015,1971,01,32.3,Y
IDCJAC0002,014015,1971,02,31.4,Y
IDCJAC0002,014015,1971,03,30.9,Y
IDCJAC0002,014015,1971,04,31.8,Y
IDCJAC0002,014015,1971,05,31.3,Y
IDCJAC0002,014015,1971,06,29.2,Y
IDCJAC0002,014015,1971,07,30.3,Y
IDCJAC0002,014015,1971,08,31.4,Y
IDCJAC0002,014015,1971,09,33.6,Y
IDCJAC0002,014015,1971,10,33.6,Y
IDCJAC0002,014015,1971,11,32.9,Y
IDCJAC0002,014015,1971,12,31.9,Y
IDCJAC0002,014015,1972,01,32.6,Y
IDCJAC0002,014015,1972,02,32.1,Y
IDCJAC0002,014015,1972,03,31.8,Y
IDCJAC0002,014015,1972,04,33.0,Y
IDCJAC0002,014015,1972,05,31.5,Y
IDCJAC0002,014015,1972,06,30.6,Y
IDCJAC0002,014015,1972,07,30.6,Y
IDCJAC0002,014015,1972,08,31.3,Y
IDCJAC0002,014015,1972,09,32.9,Y
IDCJAC0002,014015,1972,10,33.5,Y
IDCJAC0002,014015,1972,11,33.7,Y
