x,y,z,classification,return intensity,scan angle,return number,total returns
383490.4,5828910.5,0.0,2.0,15.0,-12.0,2.0,2.0
383490.9,5828909.7,3.0,5.0,119.0,-12.0,1.0,2.0
383490.5,5828910.2,0.0,2.0,17.0,-12.0,2.0,2.0
383490.6,5828909.9,0.0,2.0,176.0,-12.0,1.0,1.0
383490.7,5828909.5,0.3,4.0,98.0,-12.0,1.0,1.0
383490.7,5828909.2,0.2,3.0,118.0,-12.0,1.0,1.0
383491.3,5828911.6,6.5,5.0,69.0,-12.0,1.0,2.0
383490.4,5828912.4,0.6,4.0,115.0,-12.0,1.0,1.0
383490.4,5828912.2,0.0,2.0,66.0,-12.0,1.0,1.0
383490.5,5828911.8,0.3,3.0,117.0,-12.0,1.0,1.0
383490.6,5828911.5,0.0,2.0,143.0,-12.0,1.0,1.0
383490.7,5828911.2,0.0,2.0,116.0,-12.0,1.0,1.0
383491.1,5828910.3,2.9,5.0,28.0,-12.0,1.0,2.0
383490.8,5828910.8,0.3,3.0,59.0,-12.0,2.0,2.0
383490.8,5828910.5,0.0,2.0,79.0,-12.0,1.0,1.0
383490.9,5828910.1,0.2,3.0,15.0,-12.0,2.0,2.0
383491.1,5828909.4,0.4,4.0,100.0,-12.0,1.0,1.0
383491.1,5828909.1,0.0,2.0,39.0,-12.0,3.0,3.0
383489.6,5828920.2,3.5,5.0,58.0,-14.0,3.0,3.0
383491.1,5828912.3,3.0,5.0,13.0,-12.0,2.0,2.0
383491.2,5828911.7,2.4,5.0,47.0,-12.0,3.0,3.0
383490.9,5828911.8,0.2,3.0,100.0,-12.0,1.0,1.0
383490.9,5828911.5,0.2,3.0,117.0,-12.0,1.0,1.0
383491.1,5828911.1,0.4,4.0,120.0,-12.0,1.0,1.0
383491.1,5828910.8,0.2,3.0,135.0,-12.0,1.0,1.0
383491.1,5828910.5,0.0,2.0,83.0,-12.0,1.0,1.0
383491.1,5828911.8,0.2,4.0,16.0,-12.0,3.0,3.0
383491.2,5828911.5,0.4,4.0,113.0,-12.0,1.0,1.0
383491.2,5828911.2,0.0,2.0,102.0,-12.0,1.0,1.0
383491.3,5828910.9,0.0,2.0,103.0,-12.0,1.0,1.0
383491.3,5828910.5,0.0,2.0,83.0,-12.0,1.0,1.0
383491.6,5828909.7,0.9,4.0,18.0,-12.0,2.0,2.0
383491.1,5828918.9,11.0,5.0,87.0,-14.0,1.0,2.0
383490.9,5828919.1,9.9,5.0,40.0,-14.0,2.0,2.0
383491.4,5828911.3,0.4,4.0,89.0,-12.0,1.0,1.0
383491.4,5828911.1,0.0,2.0,130.0,-12.0,1.0,1.0
383491.5,5828910.7,0.0,2.0,125.0,-12.0,1.0,1.0
383491.4,5828919.2,10.9,5.0,26.0,-14.0,3.0,3.0
383491.6,5828923.1,2.9,5.0,47.0,-14.0,1.0,2.0
383495.4,5828915.6,70.2,5.0,48.0,-3.0,1.0,2.0
383495.5,5828915.9,70.0,5.0,52.0,-3.0,1.0,1.0
383495.6,5828916.2,70.2,5.0,59.0,-3.0,1.0,1.0
383495.6,5828916.4,70.2,5.0,67.0,-2.0,1.0,1.0
383495.8,5828916.6,69.2,5.0,85.0,-2.0,1.0,1.0
383495.0,5828915.5,69.7,5.0,56.0,-3.0,1.0,2.0
383495.1,5828915.7,69.5,5.0,79.0,-3.0,1.0,2.0
383495.1,5828916.0,69.8,5.0,45.0,-3.0,1.0,2.0
383495.1,5828916.3,70.2,5.0,62.0,-3.0,1.0,1.0
383495.1,5828916.5,70.1,5.0,33.0,-2.0,1.0,2.0
383495.3,5828916.4,68.7,5.0,25.0,-2.0,2.0,2.0
383495.4,5828916.6,68.5,5.0,64.0,-2.0,1.0,1.0
383495.6,5828916.8,67.6,5.0,30.0,-2.0,1.0,2.0
383495.5,5828917.2,68.7,5.0,80.0,-2.0,1.0,2.0
383495.6,5828917.5,68.9,5.0,49.0,-2.0,1.0,1.0
383495.6,5828917.7,68.8,5.0,33.0,-2.0,1.0,3.0
383495.7,5828918.0,68.7,5.0,26.0,-2.0,1.0,4.0
383494.3,5828913.1,67.2,5.0,50.0,-3.0,1.0,2.0
383494.4,5828913.4,66.9,5.0,55.0,-3.0,1.0,2.0
383494.5,5828913.6,66.7,5.0,46.0,-3.0,1.0,2.0
383494.6,5828913.8,66.1,5.0,28.0,-3.0,1.0,2.0
383494.7,5828914.1,66.1,5.0,54.0,-3.0,1.0,2.0
383494.8,5828914.3,65.8,5.0,76.0,-3.0,1.0,2.0
383494.8,5828914.6,65.7,5.0,55.0,-3.0,1.0,2.0
383494.8,5828914.9,66.1,5.0,25.0,-3.0,1.0,3.0
383494.9,5828915.2,65.9,5.0,12.0,-3.0,1.0,2.0
383494.5,5828915.7,69.0,5.0,49.0,-3.0,1.0,3.0
383494.5,5828916.0,69.3,5.0,90.0,-3.0,1.0,1.0
383494.6,5828916.3,69.4,5.0,16.0,-2.0,1.0,3.0
383495.5,5828915.6,62.5,5.0,12.0,-2.0,2.0,3.0
383495.6,5828915.9,62.4,5.0,110.0,-2.0,1.0,2.0
383495.2,5828916.8,66.4,5.0,17.0,-2.0,1.0,3.0
383495.3,5828917.3,66.2,5.0,34.0,-2.0,1.0,2.0
383495.3,5828917.6,66.2,5.0,35.0,-2.0,1.0,2.0
383495.1,5828918.4,68.8,5.0,16.0,-2.0,1.0,3.0
383495.6,5828918.1,65.6,5.0,51.0,-2.0,2.0,3.0
383495.8,5828918.2,64.2,5.0,53.0,-2.0,1.0,2.0
383495.2,5828919.2,69.1,5.0,32.0,-2.0,1.0,2.0
383495.2,5828919.5,69.3,5.0,58.0,-2.0,1.0,1.0
383495.3,5828919.7,69.3,5.0,38.0,-2.0,1.0,3.0
383495.6,5828919.5,66.9,5.0,26.0,-2.0,2.0,3.0
383495.4,5828920.0,69.0,5.0,25.0,-2.0,1.0,3.0
383495.6,5828919.8,67.5,5.0,65.0,-2.0,2.0,3.0
383495.3,5828920.3,69.9,5.0,49.0,-2.0,1.0,2.0
383495.4,5828920.5,69.9,5.0,38.0,-2.0,1.0,3.0
383494.2,5828915.0,66.0,5.0,19.0,-3.0,1.0,2.0
383494.2,5828915.2,65.9,5.0,43.0,-3.0,1.0,2.0
383494.2,5828915.6,67.0,5.0,38.0,-3.0,1.0,2.0
383494.3,5828915.8,66.4,5.0,38.0,-3.0,1.0,1.0
383494.3,5828916.1,66.5,5.0,47.0,-3.0,1.0,2.0
383494.6,5828915.9,64.9,5.0,15.0,-3.0,2.0,2.0
383494.5,5828916.3,65.9,5.0,36.0,-2.0,1.0,4.0
383495.2,5828915.8,60.4,5.0,16.0,-2.0,2.0,4.0
383494.5,5828916.6,66.2,5.0,42.0,-2.0,1.0,1.0
383494.6,5828916.9,66.2,5.0,55.0,-2.0,1.0,2.0
383494.6,5828917.2,66.5,5.0,22.0,-2.0,1.0,2.0
383494.7,5828917.7,66.2,5.0,30.0,-2.0,1.0,2.0
383494.8,5828917.9,66.3,5.0,30.0,-2.0,1.0,3.0
383495.0,5828917.8,64.9,5.0,27.0,-2.0,2.0,3.0
383494.5,5828918.4,68.4,5.0,24.0,-2.0,1.0,3.0
